Nome_Cliente,CPF,ID_Conta,ID_Dossie,Numero_Processo,Base_PIS,Tipo_Garantia,Valor_Garantia,Status_Processo
Srta. Ana Luiza Albuquerque,985.706.123-03,CTA-78449,DOS-93112,00009125820214036202,PIS_CIVEL_003,Fiança Bancária,495670.77,EM_ANALISE
Catarina Ramos,189.604.735-10,CTA-72411,DOS-62105,00029422220194036304,PIS_REC_002,Seguro Garantia,245700.4,PENDENTE
Dra. Vitória da Cruz,862.094.713-31,CTA-96899,DOS-78977,50008593420224036306,PIS_CIVEL_003,Bloqueio Judicial,64317.64,ENCERRADO
Daniel Dias,790.214.683-87,CTA-44754,DOS-10441,50008361620214036309,PIS_REC_002,Fiança Bancária,92368.59,ATIVO
Esther Dias,805.194.237-04,CTA-90266,DOS-27391,50086678220204036105,PIS_CIVEL_003,Fiança Bancária,106050.04,PENDENTE
Maria Luiza Correia,726.531.048-90,CTA-15254,DOS-72535,00019473420194036328,PIS_TRAB_004,Depósito Judicial,65898.51,EM_ANALISE
Dra. Emanuelly Montenegro,389.216.705-21,CTA-18905,DOS-44587,50014470820224036317,PIS_CIVEL_003,Carta de Fiança,91836.67,ATIVO
João Pedro Moura,382.619.450-06,CTA-59308,DOS-29244,00022907220204036335,PIS_TRAB_004,Bloqueio Judicial,11865.34,EM_ANALISE
Maria Fernanda Cassiano,429.675.138-73,CTA-99249,DOS-22341,00026406220214036323,PIS_CIVEL_003,Carta de Fiança,52948.75,ATIVO
Carlos Eduardo Guerra,034.598.162-60,CTA-55369,DOS-35547,50004246020224036306,PIS_REC_001,Bloqueio Judicial,30379.98,ENCERRADO
Srta. Sofia Freitas,829.367.154-82,CTA-57003,DOS-98166,50018383320224036326,PIS_REC_002,Depósito Judicial,116104.77,PENDENTE
Aurora Nogueira,560.491.823-70,CTA-72327,DOS-57471,00380947220214036301,PIS_REC_001,Fiança Bancária,124273.21,ENCERRADO
Sr. Lucas Oliveira,753.160.824-35,CTA-55330,DOS-70412,50379672020254047000,PIS_REC_002,Seguro Garantia,238884.63,PENDENTE
Ana Lívia Novais,826.450.139-70,CTA-17901,DOS-29527,50209584520254047000,PIS_REC_002,Carta de Fiança,79854.53,ENCERRADO
Mateus Alves,652.914.703-99,CTA-66724,DOS-72439,50537437020194047000,PIS_REC_001,Carta de Fiança,121680.24,EM_ANALISE
Erick Novais,624.183.907-13,CTA-29243,DOS-83284,50485430920244047000,PIS_REC_001,Seguro Garantia,191776.81,ENCERRADO
Noah Brito,340.765.198-84,CTA-14337,DOS-12886,50560100520254047000,PIS_CIVEL_003,Fiança Bancária,408394.98,PENDENTE
Brayan Novais,975.402.368-92,CTA-77894,DOS-29337,50382098620194047000,PIS_CIVEL_003,Fiança Bancária,158408.72,PENDENTE
Alana Dias,917.456.320-34,CTA-72170,DOS-41332,50355059020254047000,PIS_TRAB_004,Fiança Bancária,422538.67,ENCERRADO
Luísa Lima,964.028.173-50,CTA-43489,DOS-43293,50376346820254047000,PIS_REC_001,Seguro Garantia,107924.64,PENDENTE
Yasmin Câmara,938.507.124-60,CTA-13454,DOS-69524,50030259120234047012,PIS_TRAB_004,Seguro Garantia,76952.22,ATIVO
Alexandre Lopes,617.524.839-28,CTA-75595,DOS-41374,50302473620244047000,PIS_REC_002,Depósito Judicial,31315.04,ENCERRADO
Emanuelly Mendes,426.187.593-46,CTA-64376,DOS-35294,50430329320254047000,PIS_CIVEL_003,Carta de Fiança,43214.04,ENCERRADO
Dr. Emanuel Vieira,162.309.875-03,CTA-48398,DOS-33573,50268000620254047000,PIS_REC_001,Seguro Garantia,289048.22,ENCERRADO
Miguel Farias,036.524.198-98,CTA-65462,DOS-21304,50134437120164047000,PIS_REC_001,Fiança Bancária,410913.04,EM_ANALISE
Joana Rios,572.489.361-46,CTA-24624,DOS-15193,50443331720214047000,PIS_REC_002,Carta de Fiança,84035.44,ENCERRADO
Srta. Ana Júlia Duarte,364.789.521-00,CTA-96291,DOS-87409,50153653720224047001,PIS_REC_001,Fiança Bancária,281294.55,ENCERRADO
Dr. Emanuel Nunes,725.043.869-74,CTA-11591,DOS-78458,50028107920224047003,PIS_REC_002,Bloqueio Judicial,27716.58,ATIVO
Maria Laura Dias,936.120.478-50,CTA-61828,DOS-69134,50152106620244047000,PIS_REC_002,Depósito Judicial,88376.32,PENDENTE
Laís Albuquerque,798.236.014-96,CTA-15196,DOS-91968,50107881120254047001,PIS_CIVEL_003,Bloqueio Judicial,12656.88,EM_ANALISE
Ana Sophia Rezende,907.153.468-57,CTA-94106,DOS-85927,50452551920254047000,PIS_REC_002,Fiança Bancária,466189.24,PENDENTE
Kaique Moraes,372.869.045-74,CTA-76413,DOS-97353,50198384520174047000,PIS_REC_002,Fiança Bancária,178961.76,EM_ANALISE
